{8, 7} -> {278, 13, 109}
{9, 8} -> {251, 12, 137}
{10, 9} -> {273, 9, 118}
{10, 7} -> {362, 4, 34}
{11, 10} -> {223, 12, 165}
{11, 8} -> {342, 7, 51}
{12, 11} -> {253, 12, 135}
{12, 9} -> {323, 5, 72}
{13, 12} -> {222, 9, 169}
{13, 10} -> {326, 5, 69}
{14, 13} -> {205, 10, 185}
{14, 11} -> {293, 8, 99}
{15, 14} -> {239, 6, 155}
{15, 12} -> {294, 5, 101}
{16, 15} -> {233, 5, 162}
{16, 13} -> {296, 8, 96}
{17, 16} -> {221, 5, 174}
{17, 14} -> {294, 2, 104}
{17, 7} -> {399, 0, 1}
{18, 17} -> {232, 7, 161}
{18, 15} -> {271, 6, 123}
{18, 8} -> {388, 3, 9}
{19, 18} -> {207, 8, 185}
{19, 16} -> {262, 6, 132}
{19, 9} -> {389, 0, 11}
{20, 19} -> {223, 10, 167}
{20, 17} -> {276, 9, 115}
{20, 10} -> {389, 2, 9}
{21, 20} -> {215, 8, 177}
{21, 18} -> {269, 12, 119}
{21, 11} -> {384, 0, 16}
{22, 21} -> {191, 9, 200}
{22, 19} -> {265, 7, 128}
{22, 12} -> {381, 0, 19}
{23, 22} -> {217, 8, 175}
{23, 20} -> {247, 7, 146}
{23, 13} -> {371, 1, 28}
{24, 23} -> {226, 8, 166}
{24, 21} -> {228, 11, 161}
{24, 14} -> {371, 4, 25}
{25, 24} -> {216, 4, 180}
{25, 22} -> {249, 7, 144}
{25, 15} -> {348, 5, 47}
{26, 25} -> {212, 7, 181}
{26, 23} -> {227, 10, 163}
{26, 16} -> {349, 4, 47}
{27, 26} -> {184, 7, 209}
{27, 24} -> {207, 9, 184}
{27, 17} -> {334, 7, 59}
{28, 27} -> {235, 11, 154}
{28, 25} -> {239, 7, 154}
{28, 18} -> {325, 3, 72}
{29, 28} -> {198, 10, 192}
{29, 26} -> {206, 7, 187}
{29, 19} -> {317, 6, 77}
{30, 29} -> {212, 9, 179}
{30, 27} -> {265, 4, 131}
{30, 20} -> {324, 6, 70}
{31, 30} -> {203, 7, 190}
{31, 28} -> {240, 9, 151}
{31, 21} -> {291, 13, 96}
{32, 31} -> {192, 12, 196}
{32, 29} -> {207, 16, 177}
{32, 22} -> {292, 3, 105}
{33, 32} -> {201, 8, 191}
{33, 30} -> {219, 9, 172}
{33, 23} -> {284, 12, 104}
{34, 33} -> {158, 10, 232}
{34, 31} -> {169, 13, 218}
{34, 24} -> {256, 8, 136}
{35, 34} -> {234, 14, 152}
{35, 32} -> {229, 3, 168}
{35, 25} -> {263, 7, 130}
{36, 35} -> {193, 8, 199}
{36, 33} -> {207, 8, 185}
{36, 26} -> {268, 4, 128}
{37, 36} -> {209, 17, 174}
{37, 34} -> {262, 4, 134}
{37, 27} -> {295, 8, 97}
{38, 37} -> {193, 6, 201}
{38, 35} -> {221, 4, 175}
{38, 28} -> {269, 7, 124}
{39, 38} -> {195, 12, 193}
{39, 36} -> {235, 14, 151}
{39, 29} -> {269, 7, 124}
{40, 39} -> {185, 9, 206}
{40, 37} -> {178, 13, 209}
{40, 30} -> {234, 10, 156}
{41, 40} -> {216, 8, 176}
{41, 38} -> {214, 9, 177}
{41, 31} -> {236, 10, 154}
{42, 41} -> {194, 7, 199}
{42, 39} -> {200, 11, 189}
{42, 32} -> {248, 10, 142}
{43, 42} -> {218, 7, 175}
{43, 40} -> {212, 13, 175}
{43, 33} -> {245, 9, 146}
{44, 43} -> {193, 5, 202}
{44, 41} -> {213, 9, 178}
{44, 34} -> {265, 11, 124}
{45, 44} -> {209, 10, 181}
{45, 42} -> {204, 9, 187}
{45, 35} -> {250, 7, 143}
{46, 45} -> {187, 6, 207}
{46, 43} -> {193, 12, 195}
{46, 36} -> {232, 8, 160}
{47, 46} -> {184, 10, 206}
{47, 44} -> {194, 16, 190}
{47, 37} -> {194, 13, 193}
{48, 47} -> {220, 10, 170}
{48, 45} -> {224, 7, 169}
{48, 38} -> {238, 8, 154}
{49, 48} -> {180, 15, 205}
{49, 46} -> {224, 8, 168}
{49, 39} -> {224, 3, 173}
{50, 49} -> {166, 17, 217}
{50, 47} -> {174, 13, 213}
{50, 40} -> {219, 7, 174}
{51, 50} -> {226, 7, 167}
{51, 48} -> {193, 7, 200}
{51, 41} -> {210, 10, 180}
{52, 51} -> {182, 11, 207}
{52, 49} -> {202, 6, 192}
{52, 42} -> {224, 7, 169}
{53, 52} -> {204, 12, 184}
{53, 50} -> {219, 5, 176}
{53, 43} -> {214, 6, 180}
{54, 53} -> {176, 8, 216}
{54, 51} -> {173, 12, 215}
{54, 44} -> {192, 8, 200}
{55, 54} -> {197, 12, 191}
{55, 52} -> {199, 7, 194}
{55, 45} -> {214, 9, 177}
{56, 55} -> {211, 7, 182}
{56, 53} -> {205, 5, 190}
{56, 46} -> {221, 10, 169}
{57, 56} -> {207, 10, 183}
{57, 54} -> {228, 10, 162}
{57, 47} -> {214, 14, 172}
{58, 57} -> {193, 10, 197}
{58, 55} -> {207, 8, 185}
{58, 48} -> {201, 13, 186}
{59, 58} -> {193, 10, 197}
{59, 56} -> {185, 10, 205}
{59, 49} -> {228, 10, 162}
{60, 59} -> {203, 7, 190}
{60, 57} -> {192, 7, 201}
{60, 50} -> {241, 9, 150}
{61, 60} -> {187, 7, 206}
{61, 58} -> {190, 8, 202}
{61, 51} -> {205, 9, 186}
{62, 61} -> {210, 9, 181}
{62, 59} -> {210, 8, 182}
