{70, 60} -> {226, 7, 167}
{71, 70} -> {198, 11, 191}
{71, 68} -> {214, 6, 180}
{71, 61} -> {212, 8, 180}
{72, 71} -> {157, 22, 221}
{72, 69} -> {163, 6, 231}
{72, 62} -> {200, 7, 193}
{73, 72} -> {220, 9, 171}
{73, 70} -> {204, 17, 179}
{73, 63} -> {219, 13, 168}
{74, 73} -> {186, 11, 203}
{74, 71} -> {178, 8, 214}
{74, 64} -> {221, 5, 174}
{75, 74} -> {185, 14, 201}
{75, 72} -> {224, 4, 172}
{75, 65} -> {203, 11, 186}
{76, 75} -> {209, 7, 184}
{76, 73} -> {222, 6, 172}
{76, 66} -> {215, 8, 177}
{77, 76} -> {194, 19, 187}
{77, 74} -> {191, 5, 204}
{77, 67} -> {196, 10, 194}
{78, 77} -> {180, 10, 210}
{78, 75} -> {186, 8, 206}
{78, 68} -> {216, 10, 174}
{79, 78} -> {203, 15, 182}
{79, 76} -> {185, 4, 211}
{79, 69} -> {200, 14, 186}
{80, 79} -> {181, 11, 208}
{80, 77} -> {171, 11, 218}
{80, 70} -> {205, 9, 186}
{81, 80} -> {195, 9, 196}
{81, 78} -> {187, 7, 206}
{81, 71} -> {195, 8, 197}
{82, 81} -> {188, 10, 202}
{82, 79} -> {169, 18, 213}
{82, 72} -> {234, 3, 163}
{83, 82} -> {201, 14, 185}
{83, 80} -> {222, 8, 170}
{83, 73} -> {202, 8, 190}
{84, 83} -> {185, 14, 201}
{84, 81} -> {204, 12, 184}
{84, 74} -> {190, 9, 201}
{85, 84} -> {201, 6, 193}
{85, 82} -> {200, 6, 194}
{85, 75} -> {208, 12, 180}
{86, 85} -> {192, 7, 201}
{86, 83} -> {197, 11, 192}
{86, 76} -> {197, 11, 192}
{87, 86} -> {198, 5, 197}
{87, 84} -> {175, 8, 217}
{87, 77} -> {195, 2, 203}
{88, 87} -> {221, 8, 171}
{88, 85} -> {198, 8, 194}
{88, 78} -> {215, 13, 172}
{89, 88} -> {203, 8, 189}
{89, 86} -> {216, 12, 172}
{89, 79} -> {197, 16, 187}
{90, 89} -> {196, 7, 197}
{90, 87} -> {215, 16, 169}
{90, 80} -> {227, 13, 160}
{91, 90} -> {198, 10, 192}
{91, 88} -> {190, 7, 203}
{91, 81} -> {234, 8, 158}
{92, 91} -> {192, 9, 199}
{92, 89} -> {203, 13, 184}
{92, 82} -> {225, 8, 167}
{93, 92} -> {195, 10, 195}
{93, 90} -> {214, 6, 180}
{93, 83} -> {220, 13, 167}
{94, 93} -> {196, 11, 193}
{94, 91} -> {171, 7, 222}
{94, 84} -> {218, 13, 169}
{95, 94} -> {200, 9, 191}
{95, 92} -> {199, 7, 194}
{95, 85} -> {218, 15, 167}
{96, 95} -> {194, 15, 191}
{96, 93} -> {208, 11, 181}
{96, 86} -> {233, 12, 155}
{97, 96} -> {210, 5, 185}
{97, 94} -> {218, 11, 171}
{97, 87} -> {232, 8, 160}
{98, 97} -> {213, 19, 168}
{98, 95} -> {200, 16, 184}
{98, 88} -> {234, 10, 156}
{99, 98} -> {193, 9, 198}
{99, 96} -> {197, 15, 188}
{99, 89} -> {210, 8, 182}
{100, 99} -> {194, 8, 198}
{100, 97} -> {202, 7, 191}
{100, 90} -> {204, 14, 182}
{101, 100} -> {205, 8, 187}
{101, 98} -> {206, 11, 183}
{101, 91} -> {186, 8, 206}
{102, 101} -> {182, 15, 203}
{102, 99} -> {205, 5, 190}
{102, 92} -> {198, 24, 178}
{103, 102} -> {211, 10, 179}
{103, 100} -> {214, 7, 179}
{103, 93} -> {231, 10, 159}
{104, 103} -> {188, 9, 203}
{104, 101} -> {215, 9, 176}
{104, 94} -> {231, 11, 158}
{105, 104} -> {198, 12, 190}
{105, 102} -> {194, 22, 184}
{105, 95} -> {202, 11, 187}
{106, 105} -> {199, 11, 190}
{106, 103} -> {193, 8, 199}
{106, 96} -> {203, 9, 188}
{107, 106} -> {199, 10, 191}
{107, 104} -> {215, 12, 173}
{107, 97} -> {204, 18, 178}
{108, 107} -> {173, 10, 217}
{108, 105} -> {191, 6, 203}
{108, 98} -> {225, 14, 161}
{109, 108} -> {201, 11, 188}
{109, 106} -> {199, 10, 191}
{109, 99} -> {225, 15, 160}
{110, 109} -> {202, 12, 186}
{110, 107} -> {187, 10, 203}
{110, 100} -> {213, 7, 180}
{111, 110} -> {202, 11, 187}
{111, 108} -> {203, 12, 185}
{111, 101} -> {168, 12, 220}
{112, 111} -> {189, 8, 203}
{112, 109} -> {213, 8, 179}
{112, 102} -> {226, 8, 166}
{113, 112} -> {198, 9, 193}
{113, 110} -> {193, 18, 189}
{113, 103} -> {208, 8, 184}
{114, 113} -> {210, 9, 181}
{114, 111} -> {200, 11, 189}
{114, 104} -> {190, 11, 199}
{115, 114} -> {188, 5, 207}
{115, 112} -> {196, 8, 196}
{115, 105} -> {190, 7, 203}
{116, 115} -> {181, 11, 208}
{116, 113} -> {176, 6, 218}
{116, 106} -> {202, 8, 190}
{117, 116} -> {176, 15, 209}
{117, 114} -> {215, 21, 164}
{117, 107} -> {172, 20, 208}
{118, 117} -> {189, 10, 201}
{118, 115} -> {179, 18, 203}
{118, 108} -> {220, 11, 169}
{119, 118} -> {180, 9, 211}
{119, 116} -> {207, 13, 180}
{119, 109} -> {191, 10, 199}
{120, 119} -> {209, 12, 179}
{120, 117} -> {168, 7, 225}
{120, 110} -> {222, 6, 172}
{121, 120} -> {203, 14, 183}
{121, 118} -> {186, 10, 204}
{121, 111} -> {202, 8, 190}
{122, 121} -> {203, 6, 191}
{122, 119} -> {216, 13, 171}
{122, 112} -> {210, 13, 177}
{123, 122} -> {210, 12, 178}
{123, 120} -> {207, 10, 183}
{123, 113} -> {179, 12, 209}
{124, 123} -> {183, 10, 207}
{124, 121} -> {174, 12, 214}
{124, 114} -> {197, 12, 191}
{125, 124} -> {180, 31, 189}
{125, 122} -> {188, 15, 197}
{125, 115} -> {210, 7, 183}
